Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
103	:	1687984476.927	     0.921	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_103 magma -b label:=2.2.5.1-239.2-1.1-gl-0 scripts/generate_inv.m
104	:	1687984476.929	     0.870	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_104 magma -b label:=2.2.5.1-241.1-1.1-gl-0 scripts/generate_inv.m
105	:	1687984476.931	     1.138	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_105 magma -b label:=2.2.5.1-241.2-1.1-gl-0 scripts/generate_inv.m
106	:	1687984476.933	     0.937	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_106 magma -b label:=2.2.5.1-244.1-1.1-gl-0 scripts/generate_inv.m
107	:	1687984476.935	     1.249	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_107 magma -b label:=2.2.5.1-244.2-1.1-gl-0 scripts/generate_inv.m
108	:	1687984476.937	     0.872	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_108 magma -b label:=2.2.5.1-245.1-1.1-gl-0 scripts/generate_inv.m
109	:	1687984476.939	     0.874	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_109 magma -b label:=2.2.5.1-251.1-1.1-gl-0 scripts/generate_inv.m
110	:	1687984476.942	     0.963	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_110 magma -b label:=2.2.5.1-251.2-1.1-gl-0 scripts/generate_inv.m
111	:	1687984476.947	     0.868	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_111 magma -b label:=2.2.5.1-256.1-1.1-gl-0 scripts/generate_inv.m
112	:	1687984476.950	     0.917	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_112 magma -b label:=2.2.5.1-261.1-1.1-gl-0 scripts/generate_inv.m
113	:	1687984476.954	     1.171	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_113 magma -b label:=2.2.5.1-261.2-1.1-gl-0 scripts/generate_inv.m
114	:	1687984476.957	     1.197	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_114 magma -b label:=2.2.5.1-269.1-1.1-gl-0 scripts/generate_inv.m
115	:	1687984476.959	     0.993	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_115 magma -b label:=2.2.5.1-269.2-1.1-gl-0 scripts/generate_inv.m
116	:	1687984476.961	     1.090	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_116 magma -b label:=2.2.5.1-271.1-1.1-gl-0 scripts/generate_inv.m
117	:	1687984476.966	     0.858	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_117 magma -b label:=2.2.5.1-271.2-1.1-gl-0 scripts/generate_inv.m
118	:	1687984476.976	     0.860	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_118 magma -b label:=2.2.5.1-275.1-1.1-gl-0 scripts/generate_inv.m
119	:	1687984476.979	     1.108	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_119 magma -b label:=2.2.5.1-275.2-1.1-gl-0 scripts/generate_inv.m
120	:	1687984476.983	     0.859	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_120 magma -b label:=2.2.5.1-279.1-1.1-gl-0 scripts/generate_inv.m
121	:	1687984476.986	     0.858	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_121 magma -b label:=2.2.5.1-279.2-1.1-gl-0 scripts/generate_inv.m
