Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
52	:	1687983326.690	     1.122	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_52 magma -b label:=2.2.5.1-121.2-1.1-gl-0 scripts/generate_kposs.m
53	:	1687983326.692	     0.769	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_53 magma -b label:=2.2.5.1-121.3-1.1-gl-0 scripts/generate_kposs.m
54	:	1687983326.694	     0.956	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_54 magma -b label:=2.2.5.1-124.1-1.1-gl-0 scripts/generate_kposs.m
55	:	1687983326.695	     0.983	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_55 magma -b label:=2.2.5.1-124.2-1.1-gl-0 scripts/generate_kposs.m
56	:	1687983326.697	     0.941	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_56 magma -b label:=2.2.5.1-125.1-1.1-gl-0 scripts/generate_kposs.m
57	:	1687983326.699	     0.831	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_57 magma -b label:=2.2.5.1-131.1-1.1-gl-0 scripts/generate_kposs.m
58	:	1687983326.701	     0.845	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_58 magma -b label:=2.2.5.1-131.2-1.1-gl-0 scripts/generate_kposs.m
59	:	1687983326.703	     0.687	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_59 magma -b label:=2.2.5.1-139.1-1.1-gl-0 scripts/generate_kposs.m
60	:	1687983326.705	     0.867	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_60 magma -b label:=2.2.5.1-139.2-1.1-gl-0 scripts/generate_kposs.m
61	:	1687983326.707	     1.151	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_61 magma -b label:=2.2.5.1-144.1-1.1-gl-0 scripts/generate_kposs.m
62	:	1687983326.710	     1.066	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_62 magma -b label:=2.2.5.1-145.1-1.1-gl-0 scripts/generate_kposs.m
63	:	1687983326.712	     0.911	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_63 magma -b label:=2.2.5.1-145.2-1.1-gl-0 scripts/generate_kposs.m
64	:	1687983326.714	     0.904	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_64 magma -b label:=2.2.5.1-149.1-1.1-gl-0 scripts/generate_kposs.m
65	:	1687983326.716	     1.118	0	27	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_65 magma -b label:=2.2.5.1-149.2-1.1-gl-0 scripts/generate_kposs.m
