Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
180	:	1674274759.510	     0.117	0	0	0	0	magma -b cut:=5000 D:=180 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
182	:	1674274759.514	     0.118	0	0	0	0	magma -b cut:=5000 D:=182 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
183	:	1674274759.517	     0.118	0	0	0	0	magma -b cut:=5000 D:=183 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
186	:	1674274759.522	     0.115	0	0	0	0	magma -b cut:=5000 D:=186 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
187	:	1674274759.524	     0.117	0	0	0	0	magma -b cut:=5000 D:=187 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
189	:	1674274759.528	     0.115	0	0	0	0	magma -b cut:=5000 D:=189 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
190	:	1674274759.532	     0.113	0	0	0	0	magma -b cut:=5000 D:=190 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
191	:	1674274759.534	     0.115	0	0	0	0	magma -b cut:=5000 D:=191 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
192	:	1674274759.536	     0.121	0	0	0	0	magma -b cut:=5000 D:=192 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
194	:	1674274759.552	     0.106	0	0	0	0	magma -b cut:=5000 D:=194 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
195	:	1674274759.555	     0.106	0	0	0	0	magma -b cut:=5000 D:=195 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
196	:	1674274759.558	     0.106	0	0	0	0	magma -b cut:=5000 D:=196 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
198	:	1674274759.563	     0.104	0	0	0	0	magma -b cut:=5000 D:=198 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
199	:	1674274759.565	     0.103	0	0	0	0	magma -b cut:=5000 D:=199 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
200	:	1674274759.567	     0.104	0	0	0	0	magma -b cut:=5000 D:=200 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
202	:	1674274759.571	     0.100	0	0	0	0	magma -b cut:=5000 D:=202 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
203	:	1674274759.572	     0.101	0	0	0	0	magma -b cut:=5000 D:=203 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
206	:	1674274759.578	     0.098	0	0	0	0	magma -b cut:=5000 D:=206 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
207	:	1674274759.580	     0.108	0	0	0	0	magma -b cut:=5000 D:=207 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
208	:	1674274759.582	     0.109	0	0	0	0	magma -b cut:=5000 D:=208 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
210	:	1674274759.587	     0.107	0	0	0	0	magma -b cut:=5000 D:=210 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
211	:	1674274759.589	     0.108	0	0	0	0	magma -b cut:=5000 D:=211 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
212	:	1674274759.591	     0.107	0	0	0	0	magma -b cut:=5000 D:=212 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
214	:	1674274759.596	     0.105	0	0	0	0	magma -b cut:=5000 D:=214 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
215	:	1674274759.598	     0.105	0	0	0	0	magma -b cut:=5000 D:=215 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
216	:	1674274759.600	     0.106	0	0	0	0	magma -b cut:=5000 D:=216 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
218	:	1674274759.604	     0.103	0	0	0	0	magma -b cut:=5000 D:=218 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
219	:	1674274759.606	     0.104	0	0	0	0	magma -b cut:=5000 D:=219 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
222	:	1674274759.617	     0.094	0	0	0	0	magma -b cut:=5000 D:=222 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
223	:	1674274759.619	     0.095	0	0	0	0	magma -b cut:=5000 D:=223 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
224	:	1674274759.624	     0.092	0	0	0	0	magma -b cut:=5000 D:=224 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
225	:	1674274759.626	     0.092	0	0	0	0	magma -b cut:=5000 D:=225 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
226	:	1674274759.632	     0.088	0	0	0	0	magma -b cut:=5000 D:=226 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
234	:	1674274759.658	     0.063	0	0	0	0	magma -b cut:=5000 D:=234 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
230	:	1674274759.643	     0.081	0	0	0	0	magma -b cut:=5000 D:=230 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
231	:	1674274759.646	     0.081	0	0	0	0	magma -b cut:=5000 D:=231 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
235	:	1674274759.662	     0.068	0	0	0	0	magma -b cut:=5000 D:=235 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
227	:	1674274759.635	     0.098	0	0	0	0	magma -b cut:=5000 D:=227 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
228	:	1674274759.637	     0.098	0	0	0	0	magma -b cut:=5000 D:=228 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
238	:	1674274759.669	     0.070	0	0	0	0	magma -b cut:=5000 D:=238 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
240	:	1674274759.672	     0.069	0	0	0	0	magma -b cut:=5000 D:=240 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
239	:	1674274759.670	     0.080	0	0	0	0	magma -b cut:=5000 D:=239 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
242	:	1674274759.676	     0.086	0	0	0	0	magma -b cut:=5000 D:=242 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
243	:	1674274759.688	     0.078	0	0	0	0	magma -b cut:=5000 D:=243 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
244	:	1674274759.691	     0.079	0	0	0	0	magma -b cut:=5000 D:=244 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
251	:	1674274759.707	     0.066	0	0	0	0	magma -b cut:=5000 D:=251 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
245	:	1674274759.694	     0.082	0	0	0	0	magma -b cut:=5000 D:=245 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
